"idade","sexo","ano","MODELO","PREVISAO_FINAL","observado"
0,"Ambos",2016,"LC",0.011305907336234,0.0124091232661057
1,"Ambos",2016,"ARIMA",0.000480706876752743,0.00051606012802238
5,"Ambos",2016,"ARIMA",0.000239039154043551,0.000229295321325133
10,"Ambos",2016,"LC",0.000317035939988302,0.000313367344695055
15,"Ambos",2016,"ARIMA",0.00123917555391025,0.00131539525181774
20,"Ambos",2016,"NNAR",0.00171437111549375,0.00172517101099002
25,"Ambos",2016,"NNAR",0.00173428818055474,0.00166855316511309
30,"Ambos",2016,"ARIMA",0.00190041348643305,0.00179273160027578
35,"Ambos",2016,"NNAR",0.00217379517570965,0.0021815195706889
40,"Ambos",2016,"LC",0.00291606146666702,0.00288930355316909
45,"Ambos",2016,"LC",0.00407194480229643,0.00406083791787735
50,"Ambos",2016,"ARIMA",0.00586835825217078,0.00587044792675991
55,"Ambos",2016,"ARIMA",0.0086336951312638,0.0085739829208881
60,"Ambos",2016,"ETS",0.0122103113423185,0.0127050233325653
65,"Ambos",2016,"ETS",0.0183094976894849,0.0187762112220789
70,"Ambos",2016,"LC",0.026724192950549,0.0270010199312401
75,"Ambos",2016,"ARIMA",0.043661914589807,0.0438231805970066
80,"Ambos",2016,"ARIMA",0.0718778438959483,0.0717859630185064
85,"Ambos",2016,"ARIMA",0.120715620212819,0.120666463901105
90,"Ambos",2016,"LC",0.193089164529778,0.1983476136475
0,"Ambos",2017,"LC",0.0106585081670687,0.012863715851619
1,"Ambos",2017,"ARIMA",0.000459471544126145,0.000521083656793392
5,"Ambos",2017,"ARIMA",0.000232347944182011,0.000224941561485341
10,"Ambos",2017,"LC",0.000310970962835914,0.00030549625760623
15,"Ambos",2017,"ARIMA",0.00123917555391025,0.00128021518482542
20,"Ambos",2017,"NNAR",0.00171681517040721,0.00171512945491359
25,"Ambos",2017,"NNAR",0.00172988694199192,0.00163202672975874
30,"Ambos",2017,"ARIMA",0.00188630132975328,0.00174428604743515
35,"Ambos",2017,"NNAR",0.00211962691606196,0.0021204861400715
40,"Ambos",2017,"LC",0.00285309408985014,0.00280809373275127
45,"Ambos",2017,"LC",0.00398137856630363,0.00396083809869948
50,"Ambos",2017,"ARIMA",0.00574558875860171,0.00575135191609925
55,"Ambos",2017,"ARIMA",0.00849462420610327,0.00838941690311158
